qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
959591,2_heur/,1000,500,1,544_250_192_129_63_34_16_8_2_1,42_84_126_168_210_252_294_336_378_420,0,87990,421001,104949,93996,NULL
535883,2_heur/,1000,500,1,1000_1000_999_953_696_356_120_21_6_1,42_84_126_168_210_252_294_336_378_420,1,87990,421001,284947,258342,1000.0_989.1429_978.2857_967.4286_956.5714_945.7143_934.8571_924.0_913.1429_902.2857_891.4286_880.5714_869.7143_858.8571_848.0_837.1429_826.2857_815.4286_804.5714_793.7143_782.8571_772.0_761.1429_750.2857_739.4286_728.5714_717.7143_706.8571_696.0_685.1429_674.2857_663.4286_652.5714_641.7143_630.8571_620.0_609.1429_598.2857_587.4286_576.5714_565.7143_554.8571_544.0_537.0_530.0_523.0_516.0_509.0_502.0_495.0_488.0_481.0_474.0_467.0_460.0_453.0_446.0_439.0_432.0_425.0_418.0_411.0_404.0_397.0_390.0_383.0_376.0_369.0_362.0_355.0_348.0_341.0_334.0_327.0_320.0_313.0_306.0_299.0_292.0_285.0_278.0_271.0_264.0_257.0_250.0_248.619_247.2381_245.8571_244.4762_243.0952_241.7143_240.3333_238.9524_237.5714_236.1905_234.8095_233.4286_232.0476_230.6667_229.2857_227.9048_226.5238_225.1429_223.7619_222.381_221.0_219.619_218.2381_216.8571_215.4762_214.0952_212.7143_211.3333_209.9524_208.5714_207.1905_205.8095_204.4286_203.0476_201.6667_200.2857_198.9048_197.5238_196.1429_194.7619_193.381_192.0_190.5_189.0_187.5_186.0_184.5_183.0_181.5_180.0_178.5_177.0_175.5_174.0_172.5_171.0_169.5_168.0_166.5_165.0_163.5_162.0_160.5_159.0_157.5_156.0_154.5_153.0_151.5_150.0_148.5_147.0_145.5_144.0_142.5_141.0_139.5_138.0_136.5_135.0_133.5_132.0_130.5_129.0_127.4286_125.8571_124.2857_122.7143_121.1429_119.5714_118.0_116.4286_114.8571_113.2857_111.7143_110.1429_108.5714_107.0_105.4286_103.8571_102.2857_100.7143_99.1429_97.5714_96.0_94.4286_92.8571_91.2857_89.7143_88.1429_86.5714_85.0_83.4286_81.8571_80.2857_78.7143_77.1429_75.5714_74.0_72.4286_70.8571_69.2857_67.7143_66.1429_64.5714_63.0_62.3095_61.619_60.9286_60.2381_59.5476_58.8571_58.1667_57.4762_56.7857_56.0952_55.4048_54.7143_54.0238_53.3333_52.6429_51.9524_51.2619_50.5714_49.881_49.1905_48.5_47.8095_47.119_46.4286_45.7381_45.0476_44.3571_43.6667_42.9762_42.2857_41.5952_40.9048_40.2143_39.5238_38.8333_38.1429_37.4524_36.7619_36.0714_35.381_34.6905_34.0_33.5714_33.1429_32.7143_32.2857_31.8571_31.4286_31.0_30.5714_30.1429_29.7143_29.2857_28.8571_28.4286_28.0_27.5714_27.1429_26.7143_26.2857_25.8571_25.4286_25.0_24.5714_24.1429_23.7143_23.2857_22.8571_22.4286_22.0_21.5714_21.1429_20.7143_20.2857_19.8571_19.4286_19.0_18.5714_18.1429_17.7143_17.2857_16.8571_16.4286_16.0_15.8095_15.619_15.4286_15.2381_15.0476_14.8571_14.6667_14.4762_14.2857_14.0952_13.9048_13.7143_13.5238_13.3333_13.1429_12.9524_12.7619_12.5714_12.381_12.1905_12.0_11.8095_11.619_11.4286_11.2381_11.0476_10.8571_10.6667_10.4762_10.2857_10.0952_9.9048_9.7143_9.5238_9.3333_9.1429_8.9524_8.7619_8.5714_8.381_8.1905_8.0_7.8571_7.7143_7.5714_7.4286_7.2857_7.1429_7.0_6.8571_6.7143_6.5714_6.4286_6.2857_6.1429_6.0_5.8571_5.7143_5.5714_5.4286_5.2857_5.1429_5.0_4.8571_4.7143_4.5714_4.4286_4.2857_4.1429_4.0_3.8571_3.7143_3.5714_3.4286_3.2857_3.1429_3.0_2.8571_2.7143_2.5714_2.4286_2.2857_2.1429_2.0_1.9762_1.9524_1.9286_1.9048_1.881_1.8571_1.8333_1.8095_1.7857_1.7619_1.7381_1.7143_1.6905_1.6667_1.6429_1.619_1.5952_1.5714_1.5476_1.5238_1.5_1.4762_1.4524_1.4286_1.4048_1.381_1.3571_1.3333_1.3095_1.2857_1.2619_1.2381_1.2143_1.1905_1.1667_1.1429_1.119_1.0952_1.0714_1.0476_1.0238_1.0
550234,2_heur/,1000,500,1,1000_963_761_368_114_39_6_2_1,42_84_126_168_210_252_294_336_378_420,2,87990,421001,197639,178626,-1
472088,2_heur/,1000,500,1,1000_1000_998_966_747_368_122_34_9_1,42_84_126_168_210_252_294_336_378_420,3,87990,421001,289225,262248,-1
187914,2_heur/,1000,500,1,1000_970_828_603_330_162_65_23_5_1,42_84_126_168_210_252_294_336_378_420,4,87990,421001,231357,209412,-1
37322,2_heur/,1000,500,1,1000_1000_1000_981_806_468_150_14_2_1,42_84_126_168_210_252_294_336_378_420,5,87990,421001,297367,269682,-1
395402,2_heur/,1000,500,1,1000_988_889_652_346_123_50_12_2_1,42_84_126_168_210_252_294_336_378_420,6,87990,421001,234853,212604,-1
500767,2_heur/,1000,500,1,1000_1000_1000_1000_999_514_123_22_6_1,42_84_126_168_210_252_294_336_378_420,7,87990,421001,308545,279888,-1
770647,2_heur/,1000,500,1,1000_400_150_54_15_7_2_2_1,42_84_126_168_210_252_294_336_378_420,8,87990,421001,122981,110460,-1
337587,2_heur/,1000,500,1,1000_964_831_504_256_97_47_11_5_1,42_84_126_168_210_252_294_336_378_420,9,87990,421001,218891,198030,-1
